instruction,input,output
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""kinematics, velocity, acceleration"", ""keywords"": ""motion, physics"" } NEW: { ""description"": ""newton laws, force, mass"", ""keywords"": ""dynamics, newton"" }","{""merged_description"": ""kinematics, velocity, acceleration, newton laws, force, mass, dynamics"", ""merged_keywords"": ""motion, physics, dynamics, newton, force""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""cellular respiration, atp"", ""keywords"": ""biology, energy"" } NEW: { ""description"": ""photosynthesis, chloroplasts, light energy"", ""keywords"": ""biology, plants"" }","{""merged_description"": ""cellular respiration, atp, photosynthesis, chloroplasts, light energy, metabolic processes"", ""merged_keywords"": ""biology, energy, plants, metabolism""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""algorithms, sorting"", ""keywords"": ""cs, coding"" } NEW: { ""description"": ""data structures, trees, graphs"", ""keywords"": ""cs, programming"" }","{""merged_description"": ""algorithms, sorting, data structures, trees, graphs, computational logic"", ""merged_keywords"": ""cs, coding, programming, algorithms, structures""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""organic chemistry, hydrocarbons"", ""keywords"": ""chemistry, organic"" } NEW: { ""description"": ""alkanes, alkenes, functional groups"", ""keywords"": ""chemistry, molecules"" }","{""merged_description"": ""organic chemistry, hydrocarbons, alkanes, alkenes, functional groups, molecular structure"", ""merged_keywords"": ""chemistry, organic, molecules, carbon""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""calculus, derivatives"", ""keywords"": ""math, rates"" } NEW: { ""description"": ""integrals, area under curve"", ""keywords"": ""math, calculus"" }","{""merged_description"": ""calculus, derivatives, integrals, area under curve, fundamental theorem"", ""merged_keywords"": ""math, calculus, rates, area""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""European history, world war 1"", ""keywords"": ""history, war"" } NEW: { ""description"": ""treaty of versailles, trench warfare"", ""keywords"": ""history, 1914"" }","{""merged_description"": ""European history, world war 1, treaty of versailles, trench warfare, 20th century conflict"", ""merged_keywords"": ""history, war, 1914, versailles, conflict""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""machine learning, neural networks"", ""keywords"": ""ai, cs"" } NEW: { ""description"": ""deep learning, backpropagation, tensors"", ""keywords"": ""ai, data"" }","{""merged_description"": ""machine learning, neural networks, deep learning, backpropagation, tensors, artificial intelligence"", ""merged_keywords"": ""ai, cs, data, deep learning, models""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""thermodynamics, heat transfer"", ""keywords"": ""physics, heat"" } NEW: { ""description"": ""entropy, carnot cycle, laws of thermodynamics"", ""keywords"": ""thermodynamics, energy"" }","{""merged_description"": ""thermodynamics, heat transfer, entropy, carnot cycle, laws of thermodynamics, thermal physics"", ""merged_keywords"": ""physics, heat, thermodynamics, energy, entropy""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""financial markets, stocks"", ""keywords"": ""finance, money"" } NEW: { ""description"": ""bonds, derivatives, risk management"", ""keywords"": ""investing, finance"" }","{""merged_description"": ""financial markets, stocks, bonds, derivatives, risk management, investment strategy"", ""merged_keywords"": ""finance, money, investing, stocks, bonds""}"
"Merge the following metadata into a single JSON object.","EXISTING: { ""description"": ""literary analysis, poetry"", ""keywords"": ""english, literature"" } NEW: { ""description"": ""sonnets, iambic pentameter, shakespeare"", ""keywords"": ""literature, poems"" }","{""merged_description"": ""literary analysis, poetry, sonnets, iambic pentameter, shakespeare, poetic forms"", ""merged_keywords"": ""english, literature, poems, shakespeare, poetry""}"
